MAY1977       2,224,277 6,729    0
JUN1977       1,892,672 5,751    0
JUL1977       1,468,074 6,711    0
AUG1977       1,618,966 7,069    0
SEP1977       1,509,195 7,134    0
OCT1977       1,511,014 5,954    0
NOV1977       1,506,977 5,447    0
DEC1977       1,520,443 6,558    0
JAN1978       1,070,936 5,222    0
FEB1978       1,794,191 4,150    0
MAR1978       1,602,841 6,765    0
APR1978       1,246,483 6,681    0
MAY1978       1,330,143 7,016    1
JUN1978       1,525,370 7,440    1
JUL1978       1,312,257 6,264    1
AUG1978       1,494,717 7,337    1
SEP1978       1,385,822 7,271    1
OCT1978       1,557,598 6,694    1
NOV1978       1,469,066 5,795    1
DEC1978       1,547,011 7,105    1
JAN1979       1,565,671 6,613    1
FEB1979       1,124,576 5,258    1
MAR1979       1,773,806 7,664    1
APR1979       1,652,490 6,716    1
MAY1979       1,744,558 7,614    1
JUN1979       1,678,286 7,652    1
JUL1979       1,636,597 7,513    1
AUG1979       1,738,847 7,862    1
SEP1979       1,576,383 6,543    1
OCT1979       1,846,508 6,855    1
NOV1979       1,746,899 7,182    1
DEC1979       1,685,611 6,830    1
JAN1980       1,794,467 6,552    1
FEB1980       1,695,017 7,318    1
MAR1980       1,671,626 6,679    1
APR1980       1,566,107 6,637    1
MAY1980       1,972,964 7,912    0
JUN1980       1,934,369 7,319    0
JUL1980       1,881,303 7,803    0
AUG1980       1,733,339 8,126    0
SEP1980       1,825,021 7,489    0
OCT1980       1,918,247 7,986    0
NOV1980       1,664,116 6,020    0
DEC1980       1,941,848 6,442    0
JAN1981       1,619,657 7,937    0
FEB1981       1,648,605 6,685    0
MAR1981       1,837,134 7,470    0
