Q02,Q03a,Q03b,Q03c,Q03d,Q03e,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
Second year,0,0,1,0,0,3.69,No,"Yes, a mac laptop.",A,I take ok notes.,"I love to run, do crafts, and make healthy food! I'm involved in CRU and Child Development Club on campus.",65,she/her/hers,$35 ,3,19,Yes,Yes,7,15,9
Third year,1,0,0,0,0,3,Somewhat,"Yes, a mac laptop.",A,I take ok notes.,I love to play soccer and be outdoors,5 feet 2 inches,she/her/hers,50,1,0,No,Yes,10,100,7
Second year,0,0,1,0,1,3,Yes,"Yes, a mac laptop.",A,I take very detailed notes.,"I'm currently involved with an on campus writing club called Her Campus, which is an extension of the biggest online blog for college women! I really enjoy writing for that and I hope that my future career is along the same lines. I'm also possibly going to be switching my major to Communications soon : )",5 feet 6 inches,she/her/hers,65,1,5,Yes,Yes,7,50,8
Third year,0,1,0,0,0,3.204,Somewhat,"Yes, a mac laptop.",A,I take ok notes.,"I like to dance, and choreographed for Cal Poly's Spring Dance Concert last year.",64,she/her/hers,72,2,12,Yes,Yes,7,50,8
Third year,1,0,0,0,0,3,Yes,"Yes, a widows based laptop.",A,I take ok notes.,I enjoy the outdoors and sketching. I love history and learning about different cultures through traveling.&nbsp;,66,she/her/hers,0,0,60,Yes,Yes,6,100,9
Third year,1,0,0,0,0,2.589,Yes,"Yes, a mac laptop.",A,I take very detailed notes.,"I am part of SLO GLO, a poi and flow arts club on campus.",62,she/her/hers,60,0,4,No,Yes,14,20,8
Fourth year,0,0,0,0,1,2.83,Yes,"Yes, a mac laptop.",A,I take very detailed notes.,I switched my major junior year from Ag Business to Journalism with a minor in Ag Coms,63,she/her/hers,40,1,6,No,No,20,30,7
Third year,0,1,0,0,0,3,No,"Yes, a mac laptop.",B,I take ok notes.,"I am very nervous for this class, I wasn't very good at AP Stats in high school. I only took one semester of it because second semester I was on home-hospital study and couldn't learn it on my own.",67,she/her/hers,,0,0,No,No,5,10,8
Second year,0,0,1,0,0,3.3,Yes,"Yes, a widows based laptop.",A,I take very detailed notes.,"I am a pre-law student and am involved with ASI Student Government as the Secretary of Student Advocacy, as well as the new pre-law fraternity on campus as the Senior VP. Fun fact: I was born in the Netherlands and lived there for 6 years; however, I come from a Persian family, making English my 3rd language :)",61,she/her/hers,125,1,18,No,No,8,50,9
Second year,1,0,0,0,0,3,No,"Yes, a mac laptop.",A,I don't take notes very well.,I was born in Athens Greece,6'3,he/him/his,20,2,8,Yes,No,6,6,8
Third year,1,0,0,0,0,2.3,Yes,"Yes, a mac laptop.",B,I take very detailed notes.,"I grew up in North County San Diego in a town called Encinitas. I live about a two minute walk from the beach and grew up surfing. I try to surf everyday, and when I'm not in the water I'm usually on a skateboard, playing guitar, making music, glass blowing, or with friends. When it comes to math it has always been a weakness for me. I have struggled through previous math classes before and have't taken a stats class since I was a junir in high school. I am hoping I can maximize all the help I can get, since my goal is to at least achieve a B in this class. ",65,he/him/his,Free! Mom hooked it up,2,36,No,Yes,6,15,9
Second year,0,0,0,0,1,3.2,Yes,"Yes, a mac laptop.",A,I take very detailed notes.,"When I am not working on homework, or studying, I love to get out and be outdoors. I love taking my dogs on a hike and being in the open. I love spending time with my family and friends more than anything. I pride myself in being a pretty darn good cook and baker. (Giant chewy chocolate chip cookies are my specialty).",68 inches,she/her/hers,45,2,37,Yes,Yes,6,75,8
Second year,0,0,0,0,1,3.233,Somewhat,"Yes, a mac laptop.",A,I take very detailed notes.,"I want to be the marketing head of a company one day. I enjoy the working world, I always have because I've been working since I was about 10 for my parents' tea company, and am excited to graduate and begin my life :)",63,she/her/hers,$50 ,2,1.5,No,Yes,4,100,9
