Program_and_Plan,Level,section,id
Liberal Arts & Sciences - Economics/Sociology,Junior,LE12,8513F8
Liberal Arts & Sciences - Economics & Mathematics,Junior,LE12,8513D8
Liberal Arts & Sciences - Biology,Senior,LE12,B0C670
Liberal Arts & Sciences - Biology/Spanish,Senior,LE12,B15A16
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE12,B4F6FD
Liberal Arts & Sciences - Biology,Junior,LE12,AFEEE7
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE12,8511A3
Liberal Arts & Sciences - Economics/Psychology,Junior,LE12,883F0F
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE12,851EAA
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE12,8518EA
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE12,852158
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE12,B4F68C
Liberal Arts & Sciences - Undeclared - Arts & Sciences/Latin Amer. & Caribbean Stu.,Sophomore,LE12,B3B882
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE12,B4F704
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Junior,LE12,B385FD
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE12,851C29
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE12,851882
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE12,8514FC
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE12,851425
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Freshman,LE12,85118B
Liberal Arts & Sciences - Undeclared - Arts & Sciences,Sophomore,LE12,852480
