HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10,HW11,HW12,HW13,Lab2,Lab3,Lab4,Lab5,Lab6,Lab7,Lab8,Lab9,Lab10,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Quiz8,Quiz9,Quiz10,Quiz11,Final_Exam,id,Exam1,Exam2
100,98.5,100,92.9,92,95.5,85.4,89.5,94.7,85.9,95,94.8,84.7,100,100,115.8,97.1,100,95.7,97,81,83.8,100,100,100,33.3,66.7,66.7,-99,-99,100,66.7,-99,75.9,B141FB,83.8,90.7
100,95.6,100,85.7,70,40.9,75,73.7,89.5,73.4,95,72.4,66.7,100,84.1,86.8,100,69.2,100,100,100,83.8,100,100,100,66.7,66.7,-99,66.7,100,100,66.7,-99,41.8,B14AE9,52.8,62
100,100,100,88.1,98,95.5,95.8,89.5,100,96.9,100,89.7,-99,81.8,54.5,105.3,96.1,100,90.4,91,91,83.8,100,100,100,66.7,100,66.7,66.7,66.7,100,100,100,67.8,B14AEE,93.8,88.3
100,98.5,100,98.8,98,100,100,97.4,100,98.4,100,98.3,-99,100,100,126.3,100,100,96.8,98,96,83.8,100,100,100,100,100,100,100,100,100,100,100,94,B0B86F,97.3,101.7
93.3,100,100,100,96,104.5,95.8,100,-99,92.2,100,96.6,94.4,100,100,84.2,92.2,92.3,77.7,96,88,82.4,100,100,100,100,100,-99,100,100,100,100,66.7,86.4,8513F8,77.6,98.3
100,89.7,96.4,96.4,90,100,97.9,92.1,100,95.3,100,98.3,95.8,100,90.9,126.3,99,100,98.9,98,100,95.9,100,100,100,100,100,-99,66.7,100,100,100,66.7,87,B1196D,101.4,100.9
100,98.5,100,95.2,90,100,100,92.1,100,97.7,100,98.3,91.7,100,97.7,100,99,100,100,95,100,100,100,100,100,100,100,33.3,100,66.7,100,66.7,100,84,B1586B,91.4,101.7
93.3,100,100,97.6,96,104.5,93.8,100,-99,98.4,100,98.3,93.1,100,100,78.9,96.1,92.3,76.6,96,90,93.2,100,100,100,100,66.7,-99,100,100,100,100,66.7,90.2,8513D8,94.3,91.7
100,89.7,100,-99,48,-99,-99,-99,-99,-99,-99,-99,-99,77.3,-99,-99,-99,-99,-99,-99,-99,-99,100,66.7,33.3,-99,66.7,-99,-99,-99,-99,-99,-99,0,AD50CA,53.8,0
100,100,92.9,100,98,104.5,93.8,97.4,97.4,98.4,95,96.6,98.6,95.5,95.5,121.1,96.1,84.6,95.7,98,93,81.1,100,66.7,100,100,100,100,100,100,100,100,100,92.8,B3A089,90.2,100.9
96.7,95.6,100,88.1,93,100,94.8,93.4,86.8,86.7,100,96.6,91,90.9,96.6,71.1,74.5,100,94.7,100,91,90.5,100,100,100,66.7,66.7,66.7,66.7,66.7,66.7,33.3,66.7,85.4,AFAC94,94.5,93.5
96.7,94.1,100,86.9,89,95.5,93.8,97.4,97.4,-99,-99,-99,-99,100,100,100,-99,92.3,-99,-99,-99,-99,100,66.7,100,33.3,100,100,-99,-99,-99,-99,-99,0,85203F,72.3,0
