age,gender,height_m,weight_kg,seatbelt,ride_drunkdriver,drive_drunk,drive_text,carried_weapon,unsafe_school,bullied,sad,days_smoke,days_drink
15,female,1.73,84.37,never,yes,6 or more times,all 30 days,yes,yes,no,yes,30,30
15,female,1.6,55.79,sometimes,no,0 times,0 days,no,no,yes,no,0,1
15,female,1.5,46.72,always,no,not drive,not drive,no,yes,yes,yes,0,0
15,female,1.57,67.13,always,yes,not drive,not drive,no,no,yes,yes,0,0
15,female,1.68,69.85,always,yes,0 times,0 days,no,no,no,no,0,0
15,female,1.65,66.68,rarely,yes,not drive,not drive,no,no,no,no,0,1
16,male,1.85,74.39,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.78,70.31,always,no,0 times,0 days,yes,no,no,no,0,0
14,male,1.73,73.48,most of the time,no,not drive,not drive,no,no,yes,no,0,0
15,male,1.83,67.59,always,yes,0 times,0 days,no,no,no,no,0,0
14,male,1.68,46.27,most of the time,no,0 times,0 days,no,no,no,no,0,0
16,male,1.83,73.48,most of the time,no,not drive,not drive,no,no,no,no,0,0
16,female,1.55,52.16,always,yes,0 times,0 days,no,no,no,no,0,0
15,female,1.52,79.83,sometimes,yes,0 times,0 days,no,no,no,no,0,1
15,female,1.5,56.25,rarely,no,not drive,not drive,no,no,yes,no,0,1
16,female,1.6,61.24,always,no,not drive,not drive,no,no,no,no,0,0
16,female,1.42,40.82,always,no,not drive,not drive,no,no,no,no,0,0
16,male,1.73,131.54,most of the time,no,0 times,1 or 2 days,no,no,no,no,0,0
16,male,1.65,70.76,sometimes,no,0 times,3 to 5 days,no,no,yes,no,0,0
16,male,1.75,72.58,rarely,no,0 times,0 days,no,no,no,no,0,0
15,male,1.85,66.23,sometimes,no,0 times,0 days,no,no,no,no,0,0
16,male,1.78,126.1,always,no,0 times,0 days,no,no,no,no,0,0
15,male,1.73,68.04,always,no,0 times,0 days,no,no,no,no,0,0
17,female,1.7,77.11,most of the time,no,not drive,not drive,no,no,no,yes,0,0
17,female,1.68,61.69,sometimes,no,0 times,0 days,no,no,no,no,0,0
17,male,1.78,96.16,sometimes,no,0 times,1 or 2 days,yes,no,no,yes,0,6
17,male,1.68,59.88,sometimes,no,0 times,0 days,no,no,no,yes,0,2
17,male,1.8,66.68,sometimes,yes,0 times,0 days,yes,no,no,yes,0,1
17,male,1.78,61.24,sometimes,no,0 times,0 days,no,no,no,no,0,0
17,male,1.83,72.58,most of the time,no,not drive,not drive,no,no,no,no,0,0
17,male,1.7,63.5,always,no,0 times,0 days,no,no,no,no,0,0
16,male,1.8,67.13,rarely,no,0 times,all 30 days,no,no,no,no,0,0
17,male,1.83,68.04,always,no,0 times,0 days,yes,no,no,no,0,0
16,male,1.7,58.97,most of the time,yes,1 time,1 or 2 days,no,no,no,no,0,5
16,male,1.73,74.39,most of the time,no,0 times,20 to 29 days,yes,no,no,yes,30,1
17,male,1.9,79.38,always,no,0 times,3 to 5 days,no,no,no,no,0,1
17,male,1.73,61.24,sometimes,no,not drive,not drive,yes,no,no,no,0,3
17,male,1.78,129.28,always,no,1 time,1 or 2 days,no,no,no,no,0,2
17,female,1.65,62.6,sometimes,no,not drive,not drive,no,no,no,no,0,0
16,female,1.6,73.48,rarely,yes,not drive,not drive,no,no,no,yes,0,1
17,female,1.68,86.18,always,no,0 times,1 or 2 days,no,no,no,yes,0,0
17,female,1.65,61.24,sometimes,yes,0 times,0 days,no,yes,yes,yes,0,0
16,female,1.6,68.04,always,no,0 times,0 days,no,no,no,no,0,0
17,female,1.52,72.58,sometimes,yes,0 times,0 days,no,no,no,yes,0,0
17,male,1.83,69.85,always,no,0 times,0 days,yes,no,no,no,0,0
17,male,1.8,83.92,most of the time,no,0 times,3 to 5 days,no,no,no,yes,0,0
17,male,1.68,94.35,sometimes,no,0 times,3 to 5 days,no,no,no,no,0,0
17,female,1.63,54.89,always,no,not drive,not drive,no,no,yes,yes,0,0
17,female,1.65,60.33,most of the time,no,4 or 5 times,10 to 19 days,no,no,no,yes,2,1
17,female,1.63,74.84,always,no,0 times,0 days,no,no,no,no,0,0
17,male,1.78,86.18,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,male,1.93,92.53,always,no,0 times,10 to 19 days,yes,no,no,no,0,0
17,male,1.8,101.15,most of the time,no,0 times,6 to 9 days,no,no,yes,yes,0,0
17,male,1.8,77.11,always,yes,4 or 5 times,0 days,no,no,no,no,0,9
17,female,1.65,49.9,rarely,no,not drive,not drive,no,no,no,no,0,1
17,female,1.78,56.7,most of the time,yes,0 times,0 days,yes,yes,yes,yes,0,2
17,female,1.73,73.03,most of the time,no,0 times,1 or 2 days,no,yes,no,no,0,9
17,female,1.55,72.58,most of the time,no,not drive,not drive,no,no,no,no,0,2
16,female,1.5,55.79,sometimes,no,not drive,not drive,no,yes,no,no,0,1
17,female,1.75,77.11,always,no,0 times,20 to 29 days,no,no,no,yes,0,0
17,female,1.68,77.11,always,no,1 time,6 to 9 days,no,no,no,no,0,2
16,female,1.73,63.5,most of the time,yes,0 times,10 to 19 days,no,no,no,no,0,0
16,female,1.55,72.58,always,no,0 times,0 days,no,no,no,no,0,0
16,female,1.68,54.43,always,no,not drive,not drive,no,no,no,no,0,0
17,female,1.5,51.71,sometimes,yes,0 times,0 days,no,no,no,yes,0,0
17,male,1.78,88.45,always,no,not drive,not drive,yes,yes,yes,yes,0,0
17,male,1.78,65.77,most of the time,no,0 times,0 days,no,no,no,no,0,0
16,male,1.88,98.43,most of the time,yes,0 times,0 days,no,no,no,no,0,7
17,male,1.75,63.05,always,no,0 times,all 30 days,no,no,no,no,0,0
17,male,1.83,83.92,always,no,0 times,6 to 9 days,no,no,no,no,0,3
16,female,1.63,57.15,always,no,0 times,0 days,no,no,no,no,0,0
16,female,1.55,53.52,sometimes,no,not drive,not drive,no,no,no,no,0,0
15,female,1.68,61.69,always,no,not drive,not drive,no,no,no,yes,0,0
16,female,1.6,70.31,always,yes,0 times,1 or 2 days,no,no,no,no,0,0
16,female,1.52,67.13,always,no,0 times,1 or 2 days,no,no,no,no,0,0
15,male,1.8,68.95,most of the time,yes,0 times,0 days,yes,no,no,yes,9,9
16,male,1.7,72.58,always,no,0 times,0 days,no,no,no,yes,0,0
17,male,1.88,74.84,always,yes,not drive,not drive,no,no,no,no,0,0
17,male,1.55,88.91,most of the time,yes,0 times,0 days,no,no,no,yes,0,2
16,male,1.83,83.01,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,male,1.9,136.99,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,male,1.73,72.58,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,female,1.8,88.45,sometimes,no,not drive,not drive,no,no,no,yes,0,3
16,female,1.73,68.95,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,female,1.65,82.56,most of the time,no,0 times,0 days,no,no,no,yes,0,1
